Unnamed: 0,journal_title,pubmed,abstract
25,Gene ,29496557; ,"Although its powerful impact on most co-morbidities has been widely demonstrated, the metabolic outcomes of bariatric surgery (BS) show a great heterogeneity among patients. Haplotypes of one of the major antioxidant enzyme, catalase (CAT), are associated with hypertension, dyslipidemia, and diabetes. The haplotype referred to as CAT1 includes homozygous carriers of CATH1 [-844G,-89A,-20T], whereas CAT2 haplotype includes heterozygous carriers (CATH1/CATH2) and CATH2 homozygous [-844A,-89T,-20C]. The aim of our study was to evaluate the impact of CAT1 and CAT2 haplotypes on traditional cardiovascular and metabolic markers one year after BS in a women population. The 294 women with a body mass index (BMI) >35 kg/m2 were followed-up for one year after BS, monitoring their anthropometric, metabolic and inflammatory parameters. CAT1 patients had significantly improved diastolic blood pressure (DBP) and Creactive protein (CRP) levels compared to CAT2 one year after BS. In untreated women at baseline, the change of CRP one year after BS was higher in CAT1 patients. In the population of women receiving at least one anti-lipidic, anti-hypertensive or anti-diabetic treatment at baseline, DBP and fat mass were lower one year after BS in CAT1 patients and the greater change of fat mass was associated with a higher change of adiponectin. The results highlight the beneficial impact of the CAT1 haplotype on traditional cardiovascular and metabolic parameters after BS. Our findings suggest that the CAT1 haplotype could be implicated in the level of metabolic and cardiovascular improvement after BS."
26,The Plant journal : for cell and molecular biology ,18248592; ,"Catalase controls cellular H(2)O(2) and plays important roles in the adaptation of plants to various stresses, but little is known about the signaling events that lead to the expression of CAT1 and the production of H(2)O(2). Here we report the dependence of CAT1 expression and H(2)O(2) production on a mitogen-activated protein kinase (MAPK) cascade. CAT1 transcript was induced in an ABA-dependent way and the induction was abolished in the T-DNA insertion mutant mkk1 (SALK_015914), while AtMKK1 overexpression significantly enhanced the ABA-induced CAT1 expression and H(2)O(2) production. AtMPK6, another component in the MAPK cascade, was also involved: mpk6 mutant blocked and overexpressing AtMPK6 enhanced the ABA-dependent expression of CAT1 and H(2)O(2) production. The activity of AtMPK6 was increased by ABA in an AtMKK1-dependent manner. These data clearly suggest an ABA-dependent signaling pathway connecting CAT1 expression through a phosphorelay including AtMKK1 and AtMPK6. In further support of this view, mkk1 mutant reduced both the sensitivity to ABA during germination and the drought tolerance of seedlings, whereas the AtMKK1 overexpression line showed the opposite responses when compared with the wild type. The data suggest AtMKK1-AtMPK6 to be a key module in an ABA-dependent signaling cascade causing H(2)O(2) production and stress responses."
27,Non-coding RNA ,35202090; ,"MicroRNAs are small non-coding RNAs that regulate cellular processes by the post-transcriptional regulation of gene expression, including immune responses. The shift in the miRNA profiling of murine macrophages infected with Leishmania amazonensis can change inflammatory response and metabolism. L-arginine availability and its conversion into nitric oxide by nitric oxide synthase 2 (Nos2) or ornithine (a polyamine precursor) by arginase 1/2 regulate macrophage microbicidal activity. This work aimed to evaluate the function of miR-294, miR-301b, and miR-410 during early C57BL/6 bone marrow-derived macrophage infection with L. amazonensis. We observed an upregulation of miR-294 and miR-410 at 4 h of infection, but the levels of miR-301b were not modified. This profile was not observed in LPS-stimulated macrophages. We also observed decreased levels of those miRNAs target genes during infection, such as Cationic amino acid transporters 1 (Cat1/Slc7a1), Cat2/Slc7a22 and Nos2; genes were upregulated in LPS stimuli. The functional inhibition of miR-294 led to the upregulation of Cat2 and Tnfa and the dysregulation of Nos2, while miR-410 increased Cat1 levels. miR-294 inhibition reduced the number of amastigotes per infected macrophage, showing a reduction in the parasite growth inside the macrophage. These data identified miR-294 and miR-410 biomarkers for a potential regulator in the inflammatory profiles of microphages mediated by L. amazonensis infection. This research provides novel insights into immune dysfunction contributing to infection outcomes and suggests the use of the antagomiRs/inhibitors of miR-294 and miR-410 as new therapeutic strategies to modulate inflammation and to decrease parasitism."
28,Current opinion in gastroenterology ,17024033; ,"Some key advances occurred last year in understanding mechanisms involved in nutrient absorption. A novel ""prechylomicron transport vesicle"" was identified; its movement to the Golgi is the rate-limiting step for triacylglycerol absorption. A scavenger receptor (type BI) in the brush border membrane appears to facilitate cholesterol uptake. Several studies define mechanisms for gastrointestinal peptide hormone stimulation of glucose uptake. An oligopeptide transporter, PepT1, is transcriptionally upregulated by certain dietary amino acids and dipeptides. Surprisingly, both insulin and fasting double the maximum velocity for dipeptide uptake (via PepT1), but they act by different mechanisms. Three transporters, SMVT (sodium-dependent multivitamin transporter for biotin and pantothenate), SVCT (for vitamin C), and CaT1 (for Ca uptake from the lumen) have been cloned and are active when expressed in various cells. Additional studies provide insights on Ca absorption and vitamin D action in aging, estrogen deficiency, and adaptation to a low Ca diet. Nramp2, also called DMT1 (divalent metal ion transporter), seems to be a major regulator of transferrin-independent, nonheme iron uptake. Finally, the protein HFE associates with the transferrin receptor and is part of an iron-sensing mechanism that regulates iron absorption. It is defective in hereditary hemochromatosis. HFE and Nramp2 (DMT1) genes are reciprocally regulated."
29,Free radical biology & medicine ,10889447; ,"The effect of wounding on catalase expression was examined in embryos and leaves of maize. All three Cat genes are upregulated in response to wounding in immature embryos. Cat expression also increased in response to jasmonic acid (JA), raising the possibility that JA and wounding may share a common signal transduction pathway in upregulating Cat mRNA in immature embryos. In young leaves, only Cat1 and Cat3 transcripts increase in response to wounding, but JA does not play a role. Cat1 and Cat3 transcript accumulation also increases in response to wounding in both wild-type and mutant leaves deficient in abscisic acid (ABA), implying that Cat1 and Cat3 induction in response to wounding is not mediated by ABA in leaves. Transient assays using the Cat1 promoter fused with the reporter gene Gus, showed that the DNA sequence motif responsible for Cat1 upregulation by wounding overlaps with the ABA-responsive element (ABRE, G-box) in the Cat1 promoter. The exact nature of the signals triggering the Cat responses to wounding is not clear at this point, but some evidence indicates that reactive oxygen species (ROS) play a role in this response. In fact, we have found that endogenous H(2)O(2) levels increase in wounded leaves. Thus, wounding may indirectly induce the production of H(2)O(2) in leaves, triggering the antioxidant response."
30,Biochemical and biophysical research communications ,11097838; ,"Transcellular calcium transport occurs in many epithelial tissues including intestine, kidney, and placenta. We identified the human ortholog (hCaT1) of a recently cloned rat calcium transport protein, CaT1, that mediates intestinal calcium uptake. hCaT1 messenger RNA is present in the gastrointestinal tract, including esophagus, stomach, duodenum, jejunum, ileum, and colon. High levels of hCaT1 transcripts are also present in pancreas, placenta, prostate, and salivary gland, while moderate levels are present in liver, kidney, and testis. hCaT1 mRNA is also expressed in the colorectal cancer cell line, SW480, and the chronic myelogenous leukemia cell line, K-562. The hCaT1 gene was assigned to the long arm of chromosome 7, bands q33-34, by fluorescence in situ hybridization. When expressed in Xenopus laevis oocytes, hCaT1 promotes saturable Ca(2+) uptake with a Michaelis constant of 0.25 mM. Our studies suggest a role for hCaT1 in cellular calcium uptake in a variety of tissues, including the transcellular calcium transport pathway in intestine."
31,Journal of chemical ecology ,34988771; ,"For the characterization of BOA-OH insensitive plants, we studied the time-dependent effects of the benzoxazolinone-4/5/6/7-OH isomers on maize roots. Exposure of Zea mays seedlings to 0.5 mM BOA-OH elicits root zone-specific reactions by the formation of dark rings and spots in the zone of lateral roots, high catalase activity on root hairs, and no visible defense reaction at the root tip. We studied BOA-6-OH- short-term effects on membrane lipids and fatty acids in maize root tips in comparison to the benzoxazinone-free species Abutilon theophrasti Medik. Decreased contents of phosphatidylinositol in A. theophrasti and phosphatidylcholine in maize were found after 10-30 min. In the youngest tissue, α-linoleic acid (18:2), decreased considerably in both species and recovered within one hr. Disturbances in membrane phospholipid contents were balanced in both species within 30-60 min. Triacylglycerols (TAGs) were also affected, but levels of maize diacylglycerols (DAGs) were almost unchanged, suggesting a release of fatty acids for membrane lipid regeneration from TAGs while resulting DAGs are buildings blocks for phospholipid reconstitution, concomitant with BOA-6-OH glucosylation. Expression of superoxide dismutase (SOD2) and of ER-bound oleoyl desaturase (FAD2-2) genes were contemporaneously up regulated in contrast to the catalase CAT1, while CAT3 was arguably involved at a later stage of the detoxification process. Immuno-responses were not elicited in short-terms, since the expression of NPR1, POX12 were barely affected, PR4 after 6 h with BOA-4/7-OH and PR1 after 24 h with BOA-5/6-OH. The rapid membrane recovery, reactive oxygen species, and allelochemical detoxification may be characteristic for BOA-OH insensitive plants."
32,Free radical biology & medicine ,9214587; ,"The catalase multi-gene family in Arabidopsis includes three genes encoding individual subunits which associate to form at least six isozymes that are readily resolved by non-denaturing gel electrophoresis. CAT1 and CAT3 map to chromosome 1, and CAT2 maps to chromosome 4. The nucleotide and deduced amino acids sequences of the three coding regions are highly related to each other and to other catalases. Both the individual isozymes and the individual subunit mRNAs show distinct patterns of spatial (organ-specific) expression. Six isozymes are detected in flowers and leaves and two are seen in roots. All three mRNAs are highly expressed in inflorescences, and CAT2 and CAT3 are highly expressed in leaves. All three mRNAs are detectable in freshly imbibed seeds, although the pattern of mRNA relative abundance varies among the three genes during early germination. CAT1 and CAT2 mRNA abundance is induced by light. In contrast, CAT3 is negatively light-responsive. CAT2 and CAT3 mRNA abundance is controlled by the circadian clock. Interestingly, the peak in CAT3 mRNA abundance occurs in the subjective evening, which is out of phase with expression of the Arabidopsis CAT2 catalase gene that shows clock-regulated expression gated to the subjective early morning. CAT1 mRNA abundance is not clock-regulated."
33,Pflugers Archiv : European journal of physiology ,19562367; ,"Since arginine metabolites, such as nitric oxide and polyamines, influence the expression of genes involved in erythroid differentiation, the transport of the cationic amino acid may play an important role in erythroid cells. However, available data only concern the presence in these cells of CAT1 transporter (system y(+)), while no information exists on the role of the heterodimeric transporters of system y(+)L (4F2hc/y(+)LAT1 and 4F2hc/y(+)LAT2) which operates transmembrane arginine fluxes cis-inhibited by neutral amino acids in the presence of sodium. Using erythroleukemia K562 cells and normal erythroid precursors, we demonstrate here that arginine transport in human erythroid cells is due to the additive contributions of a leucine-sensitive and leucine-insensitive component. In both cell types, leucine inhibition of arginine influx is much less evident in the absence of sodium, a hallmark of system y(+)L. In K562 cells, N-ethylmaleimide, a known inhibitor of CAT transporters (system y(+)), suppresses only a fraction of arginine influx corresponding to leucine-insensitive uptake. Moreover, in Xenopus oocytes coexpressing 4F2hc and y(+)LAT2, leucine exerts a marked inhibition of arginine transport, partially dependent on sodium, while no inhibition is seen in oocytes expressing CAT1. Lastly, silencing of SLC7A6, the gene for y(+)LAT2, lowers arginine transport and doubles the intracellular content of the cationic amino acid in K562 cells. We conclude that arginine transport in human erythroid cells is due to both system y(+) (CAT1 transporter) and system y(+)L (4F2hc/y(+)LAT2 isoform), which mainly contribute, respectively, to the influx and to the efflux of the cationic amino acid."
34,Journal of bioscience and bioengineering ,16232607; ,"CatABC genes encode proteins that are responsible for the first three steps of one branch of the beta-ketoadipate pathway involved in the degradation of various aromatic compound by bacteria. Aniline-assimilating Acinetobacter lwoffii K24 is known to have the two-catABC gene clusters (cat1 and cat2) on the chromosome (Kim et al., J. Bacteriol., 179: 5226-5231, 1997). The order of the cat2 gene cluster is catB2A2C2, which has not been found in other bacteria. In this report, we analyzed the transcriptional pattern of the cat2 gene cluster and completely sequenced a 5.8 kbp fragment containing the compactly clustered catB2A2C2 genes and four ORFs. Similar to the ORF(R1) of the cat1 gene cluster, an ORF highly homologous with the catR gene was found 102 by upstream of the catB2 gene and was designated as ORF(R2). Three ORFs, one putative reductase component (ORF(X2)) and two putative LysR family regulatory proteins (ORF(Y2), ORF(Z2)) were located next to the catC2 gene in the opposite direction of the cat2 gene cluster. Two ORFs, ORF(X2) and ORF(Y2), were significantly homologous with tdnB and tdnR of the aniline oxygenase complex of Pseudomonas putida UCC22. RT-PCR analysis and Northern blotting revealed that the catB2 gene is independently transcribed and that the catA2C2 genes are cotranscribed. A primer extension assay revealed that transcription of the catA2C2 gene starts in the C-terminal region of the catB2 gene. These results suggest that the cat2 gene cluster may be under a different gene adaptation from other cat gene clusters."
35,Microbiology and molecular biology reviews : MMBR ,9618445; ,"Glucose and related sugars repress the transcription of genes encoding enzymes required for the utilization of alternative carbon sources; some of these genes are also repressed by other sugars such as galactose, and the process is known as catabolite repression. The different sugars produce signals which modify the conformation of certain proteins that, in turn, directly or through a regulatory cascade affect the expression of the genes subject to catabolite repression. These genes are not all controlled by a single set of regulatory proteins, but there are different circuits of repression for different groups of genes. However, the protein kinase Snf1/Cat1 is shared by the various circuits and is therefore a central element in the regulatory process. Snf1 is not operative in the presence of glucose, and preliminary evidence suggests that Snf1 is in a dephosphorylated state under these conditions. However, the enzymes that phosphorylate and dephosphorylate Snf1 have not been identified, and it is not known how the presence of glucose may affect their activity. What has been established is that Snf1 remains active in mutants lacking either the proteins Grr1/Cat80 or Hxk2 or the Glc7 complex, which functions as a protein phosphatase. One of the main roles of Snf1 is to relieve repression by the Mig1 complex, but it is also required for the operation of transcription factors such as Adr1 and possibly other factors that are still unidentified. Although our knowledge of catabolite repression is still very incomplete, it is possible in certain cases to propose a partial model of the way in which the different elements involved in catabolite repression may be integrated."
36,Microbiology and immunology ,18352908; ,"Although the catalase gene (CAT1) disruptant of the human pathogenic yeast Candida albicans was viable under ordinary growth conditions, we previously found that it could not grow on YPD (yeast extract/peptone/dextrose) containing SDS or at higher growth temperatures. To investigate the pleiotrophic nature of the disruptant, we examined the effect of the catalase inhibitor 3-AT on the growth of wild-type strains. Surprisingly, the addition of 3-AT and SDS caused the wild-type cells to be non-viable on YPD plates. We found an additional phenotype of the catalase gene disruptant: it did not produce normal hyphae on Spider medium. Hyphal growth was observed in a CAP1 (Candida AP-1-like protein gene) disruptant, a HOG1 (high-osmolarity glycerol signaling pathway gene) disruptant, and the double CAP1/HOG1 disruptant, suggesting that the defect in hyphal formation by the catalase disruptant was independent of these genes. Addition of 3-AT and SDS to hyphae-inducing media suppressed growth of normal hyphae in the wild-type strain. The potential necessity for catalase action upon exposure to hyphae-inducing conditions was confirmed by the immediate elevation of the catalase gene message. In spite of the requirement for catalase during hyphal growth, the catalase gene disruptant was capable of forming germ tubes in medium containing serum."
37,Journal of microbiological methods ,29454005; ,"Biofilm production contributes to several human diseases, including oral candidiasis. Among the Candida species, Candida albicans is the most prevalent. The expression of virulence genes is implicated in the pathogenic potential of Candida biofilms. However, the evaluation of microbial gene expression from in vivo biofilm samples is not trivial, specifically, assessment via quantitative PCR (qPCR) can be a challenge because of several species present in clinical samples. Hence, the necessity of primers specificity. The aim of this study was to evaluate through in silico and in vitro analyses the specificity of published primers and newly designed primers for C. albicans virulence genes: ALS1, CAP1, CAT1, EFG1, HWP1, LIP3, PLB1, SAP1, SAP4, SOD1, SOD5 and ACT1 (normalizing gene). In silico analysis was performed through a PubMed search of articles with primer sequences that evaluated gene expression of C. albicans. Then, the sequence similarity of twenty-eight primers was checked through BLASTn and ClustalW2. The analysis of secondary structures was performed using mfold. When the primers did not present satisfactory characteristics (absence of secondary structures, not discrepant Tm of forward and reverse sequences and specificity) following in vitro analysis (i.e., end point PCR), new primers were designed using Beacon Designer™ and sequences obtained from the ""Candida Genome Database"". The selected primers were tested in vitro by end point PCR using a panel of genomic DNA from five different Candida species (C. albicans, Candida glabrata, Candida dubliniensis, Candida krusei, and Candida tropicalis). The resulting PCR products were visualized on agarose gel. qPCR reactions were performed to determine primers' optimal concentration and PCR efficiency. End point PCR demonstrated that published primers for the SAP1 and HWP1 were specific for C. albicans and the one for SOD1 reacted with C. albicans and C. dubliniensis. The sequence of primers designed for ACT1, ALS1 and HWP1 genes were specific for C. albicans, while the ones for CAP1, CAT1, EFG1, LIP3, and PLB1 were detected in C. albicans and C. dubliniensis. After optimization, all primers presented a single peak on melt curves, correlation coefficient of ≅1 and qPCR reaction efficiency of 90-110%, with slope of ≅-3.3. Therefore, these primers should be suitable for future gene expression analyses from clinical samples."
38,Genetics ,9584109; ,"Angiosperms (flowering plants), including both monocots and dicots, contain small catalase gene families. In the dicot, Arabidopsis thaliana, two catalase (CAT) genes, CAT1 and CAT3, are tightly linked on chromosome 1 and a third, CAT2, which is more similar to CAT1 than to CAT3, is unlinked on chromosome 4. Comparison of positions and numbers of introns among 13 angiosperm catalase genomic sequences indicates that intron positions are conserved, and suggests that an ancestral catalase gene common to monocots and dicots contained seven introns. Arabidopsis CAT2 has seven introns; both CAT1 and CAT3 have six introns in positions conserved with CAT2, but each has lost a different intron. We suggest the following sequence of events during the evolution of the Arabidopsis catalase gene family. An initial duplication of an ancestral catalase gene gave rise to CAT3 and CAT1. CAT1 then served as the template for a second duplication, yielding CAT2. Intron losses from CAT1 and CAT3 followed these duplications. One subclade of monocot catalases has lost all but the 5'-most and 3'-most introns, which is consistent with a mechanism of intron loss by replacement of an ancestral intron-containing gene with a reverse-transcribed DNA copy of a fully spliced mRNA. Following this event of concerted intron loss, the Oryza sativa (rice, a monocot) CAT1 lineage acquired an intron in a novel position, consistent with a mechanism of intron gain at proto-splice sites."
39,Comparative medicine ,20412689; ,"The Göttingen minipig is an excellent model for studying effects of dietary high-fat intake on obesity. In this study, we analyzed the expression level of microRNA-122 (miRNA-122) and its target mRNA, CAT1, in intact young male minipigs fed either high-cholesterol or standard diet for 11 wk. MiRNA-122 and CAT1 are known to be important regulators of lipid metabolism. The weight of the young minipigs was monitored once a week during the feeding period; measurements of total cholesterol, triglycerides, high-density lipoproteins, and low-density lipoproteins were recorded at 4 time points (8, 14, 16, and 19 wk of age) in fasting animals during the feeding scheme. Body weight, total cholesterol, and high-density lipoproteins were higher in pigs fed the high-cholesterol compared with the standard diet. In contrast, the level of triglycerides was lower in pigs on the high-cholesterol diet than those receiving the standard diet. Pigs fed high-cholesterol also had lower miRNA-122 levels than did those fed the standard diet. These results suggest that in our minipigs, the increase in weight and cholesterol levels resulting from subchronic (11 wk) feeding of a high-cholesterol diet is correlated with a decrease in the expression of miRNA-122, confirming the implication of this microRNA in obesity. Gene expression levels of CAT1 did not differ between groups."
40,The EMBO journal ,8557031; ,"PCK1 encoding phosphoenolpyruvate carboxykinase is transcriptionally regulated by two upstream activating elements. By screening for mutants that failed to derepress a UAS2PCK1-CYC1-lacZ reporter gene we isolated the new recessive derepression mutation cat5. The CAT5 gene encodes a protein of 272 amino acids showing a 42% identity to the ZC395.2 gene product of Caenorhabditis elegans whose function is unknown. Deletion of CAT5 caused a complete loss of glucose derepression affecting gluconeogenic key enzymes. Respiration, but not mitochondrial cytochrome c oxidase activity, was also affected. CAT5 expression is 5- to 6-fold repressed by glucose, and CAT5 transcriptional activation was dependent on CAT1 (SNF1), CAT8 and CAT5 itself. The CAT5 gene is necessary for UAS1PCK1 and UAS2PCK1 protein binding since a carbon source-specific interaction was no longer detectable in cat5 mutants. Glucose derepression of gluconeogenesis depends on the active Cat1 (Snf1) protein kinase and the Cat8 zinc cluster activator. Mig1p-independent overexpression of CAT8 did not stimulate activation of gluconeogenic promoters in cat1 and in cat5 mutants. Since Cat8p multicopy expression suppresses the ethanol growth deficiency in cat1 (snf1) mutants, these results indicate that activation of Cat8p by the Cat1p (Snf1p) kinase and the Cat5p protein might be necessary for release from glucose repression."
41,Plant physiology and biochemistry : PPB ,36272190; ,"CBFs play a crucial role when plants are in adverse environmental conditions for growth. However, there are few reports on the role of CBF gene in stress responses of Malus plant. In this experiment, a new CBF TF was separated from M. baccata which was named MbCBF1. MbCBF1 protein was found to be localized in the nucleus after subcellular localization. Furthermore, the expression of MbCBF1 was highly accumulated in new leaves and roots due to the high influence of cold and high salt in M. baccata seedlings. After introducing MbCBF1 into A. thaliana, transgenic A. thaliana can better adapt to the living conditions of cold and high salt. The increased expression of MbCBF1 in A. thaliana also increased the contents of proline, remarkablely improved the activities of SOD, POD and CAT, but the content of MDA was decreased. Although the chlorophyll content also decreased, it decreased less in transgenic plants. In short, above date showed that MbCBF1 has a positive effect on improving A. thaliana cold and high salt tolerance. MbCBF1 can regulate the expression of its downstream gene in transgenic lines, up-regulate the expression of key genes COR15a, RD29a/bandCOR6.6/47 related to low temperature under cold conditions and NCED3, CAT1, P5CS1, RD22, DREB2A,PIF1/4, SOS1 and SnRK2.4 related to salt stress under high salt conditions, so as to further improve the adaptability and tolerance of the transgenic plants to low temperature and high salt environment."
42,Journal of molecular and cellular cardiology ,22705145; ,"Elevated plasma concentrations of endogenously formed asymmetric (ADMA) and symmetric dimethyl-l-arginine (SDMA) are associated with adverse clinical outcomes. Our aim was to investigate the cellular uptake properties of ADMA by the human cationic amino acid transporter 1 (CAT1; SLC7A1). Human embryonic kidney cells (HEK293) stably overexpressing CAT1 (HEK-CAT1) and vector-transfected control cells (HEK-VC) were established to determine cellular uptake of labeled [(3)H]ADMA and [(3)H]l-arginine. Uptake of ADMA and l-arginine were significantly (p<0.001) higher in HEK-CAT1 than in HEK-VC at all investigated concentrations. Apparent V(max) values of cellular ADMA and l-arginine uptake by CAT1 were 26.9 ± 0.8 and 11.0 ± 0.2 nmol mg protein(-1) min(-1), respectively. K(m) values were 183 ± 21 μmoll(-1) (ADMA) and 519 ± 36 μmoll(-1) (l-arginine). Uptake of ADMA was inhibited by l-arginine and SDMA with IC(50) values (95% CI) of 227 (69-742) μmoll(-1) and 273 (191-390) μmoll(-1), respectively. ADMA and SDMA inhibited CAT1-mediated uptake of l-arginine with IC(50) values of 758 (460-1251) μmoll(-1) and 789 (481-1295) μmoll(-1), respectively. Efflux of ADMA was significantly increased in HEK-CAT1 cells as compared to HEK-VC (p<0.05). CAT1 mediates the cellular uptake of ADMA. In its physiological concentration range ADMA is unlikely to impair CAT1-mediated transport of l-arginine. Conversely, high (but still physiological) concentrations of l-arginine can inhibit CAT1-mediated cellular uptake of ADMA."
43,Cancer science ,23373973; ,"Control of liver metastasis is an important issue in the treatment of colorectal cancer (CRC). MicroRNAs have been shown to be involved in the development of many cancers, but little is known about their role in the process of colorectal liver metastasis. We compared miRNA expression between primary colorectal tumors and liver metastasis to identify those involved in the process of metastasis. Cancer cells were isolated from formalin-fixed paraffin-embedded primary CRC samples and their corresponding metastatic liver tumors in six patients using laser capture microdissection, and miRNA expression was analyzed using TaqMan miRNA arrays. The most abundant miRNA in liver metastasis compared with primary tumors was miR-122. Immunohistochemical analysis revealed that the expression levels of cationic amino acid transporter 1 (CAT1), a negative target gene of miR-122, were lower in liver metastases than primary tumors (P < 0.001). Expression levels of CAT1 in 132 primary tumors were negatively correlated with the existence of synchronous liver metastasis (P = 0.0333) and tumor stage (P < 0.0001). In an analysis of 121 colon cancer patients without synchronous liver metastasis, patients with CAT1-low colon cancer had significantly shorter liver metastasis-free survival (P = 0.0258) but not overall survival or disease-free survival. Overexpression of miR-122 and concomitant suppression of CAT1 in the primary tumor appears to play important roles in the development of colorectal liver metastasis. Expression of CAT1 in the primary CRC has the potential to be a novel biomarker to predict the risk of postoperative liver metastasis of CRC patients."
44,Scientific reports ,28684763; ,"Low plasma concentration of L-homoarginine is an independent predictor of cardiovascular events and total mortality. Experimental data indicate that supplementation of L-homoarginine may have protective effects. We aimed to elucidate the mechanisms involved in the cellular uptake of L-homoarginine, which are little understood, so far. Using human embryonic kidney (HEK293) cell lines stably overexpressing the human cationic amino acid transporters CAT1 [solute carrier family 7 (SLC7A1)], CAT2A (SLC7A2A) or CAT2B (SLC7A2B) we assessed the transport kinetics of L-homoarginine and interactions with the CAT substrates L-arginine and asymmetric dimethylarginine (ADMA). Significant uptake of L-homoarginine was observed for all three CATs with apparent KM-values of 175 ± 7 µM for CAT1 and 523 ± 35 µM for CAT2B. Saturation of CAT2A-mediated L-homoarginine uptake could not be reached. Uptake of L-homoarginine by any of the three CATs could be inhibited by L-arginine and ADMA. Significant inhibition of CAT1-mediated uptake of L-homoarginine by L-arginine already occurred in the physiological concentration range. Taken together these data demonstrate that L-homoarginine is a substrate of CAT1, CAT2A and CAT2B and that CAT1 is a key site with regard to physiological relevance and interactions with related substrates such as L-arginine."
45,Poultry science ,22802189; ,"Chick embryos derive nutrients from the yolk during incubation and transition to intestinal absorption of nutrients posthatch. The uptake of nutrients is mediated by a variety of membrane-bound transporter proteins. The objective of this study was to determine the expression profiles of nutrient transporters and digestive enzymes during incubation in the yolk sac membrane (YSM) and embryonic intestine of egg-laying (Leghorn) and meat-producing (Cobb) chickens derived from 22 to 30 wk (young) and 45 to 50 wk (old) breeder flocks. Transporters examined included the peptide transporter PepT1, the glutamate/aspartate (EAAT3), cationic (CAT-1) and neutral (B0AT) amino acid transporters, and the fructose (GLUT5) and glucose (SGLT1) transporters. Digestive enzymes included aminopeptidase N (APN) and sucrase-isomaltase (SI). Expression of these genes was assessed by real-time PCR using the absolute quantification method in YSM at embryonic day (E) 11, 13, 15, 17, 19, 20, and 21 and intestine at E15, 17, 19, 20, and 21. The PepT1 and APN gene expression in the YSM increased until E15 and then decreased until E21, whereas expression in the intestine increased from E15 to E21. The B0AT showed a similar pattern, with greatest expression in the YSM occurring at E17/E19. The CAT1 and GLUT5 genes showed decreased expression in the YSM and increased expression in the intestine until E17/E19 and then a decrease until E21. Expression of SGLT1 and EAAT3 showed increased gene expression over time in both the intestine and YSM. Expression of SI showed little to no gene expression in the YSM, whereas the intestine exhibited consistently high levels of gene expression. In YSM and intestine, SI expression was greater in Leghorn than Cobb, whereas CAT1 and GLUT5 expression was greater in Cobb than Leghorn. Expression of the APN, CAT1, and SI genes was greater in embryos from young flocks than old flocks in YSM and intestine. These results demonstrate that the YSM expresses many of the digestive enzymes and nutrient transporters typically associated with the intestine and that these genes show tissue- and development-specific patterns of expression."
46,"Antioxidants (Basel, Switzerland) ",35326248; ,"The Bcl-2-associated athanogene (BAG) proteins are a family of multi-functional group of co-chaperones regulators, modulating diverse processes from plant growth and development to stress response. Here, 10 members of SlBAG gene family were identified based on the available tomato (Solanum lycopersicum) genomic information and named as SlBAG1-10 according to their chromosomal location. All SlBAG proteins harbor a characteristic BAG domain, categorized into two groups, and SlBAG4, SlBAG7, and SlBAG9 of group I contain a plant-specific isoleucine glutamine (IQ) calmodulin-binding motif located in the N terminus. The quantitative real-time PCR expression analysis revealed that these SlBAG genes had organ-specific expression patterns and most SlBAG genes were differentially expressed in multiple abiotic stresses including drought, salt, high temperature, cold, and cadmium stress as well as abscisic acid and H2O2. In addition, heterologous overexpression of SlBAG9 increased the sensitivity of Arabidopsis to drought, salt, and ABA during seed germination and seedling growth. The decreased tolerance may be due to the downregulation of stress-related genes expression and severe oxidative stress. The expression levels of some stress and ABA-related genes, such as ABI3, RD29A, DREB2A, and P5CS1, were significantly inhibited by SlBAG9 overexpression under osmotic stress. Meanwhile, the overexpression of SlBAG9 inhibited the expression of FSD1 and CAT1 under stress conditions and the decreased levels of superoxide dismutase and catalase enzyme activities were detected accompanying the trends in the expression of both genes, which resulted in H2O2 accumulation and lipid peroxidation. Taken together, these findings lay a foundation for the future study of the biological function of SlBAG genes in tomato."
47,Eukaryotic cell ,16963629; ,"In the present study, we sought to elucidate the contribution of the Cryptococcus neoformans catalase gene family to antioxidant defense. We employed bioinformatics techniques to identify four members of the C. neoformans catalase gene family and created mutants lacking single or multiple catalase genes. Based on a phylogenetic analysis, CAT1 and CAT3 encode putative spore-specific catalases, CAT2 encodes a putative peroxisomal catalase, and CAT4 encodes a putative cytosolic catalase. Only Cat1 exhibited detectable biochemical activity in vitro, and Cat1 activity was constitutive in the yeast form of this organism. Although they were predicted to be important in spores, neither CAT1 nor CAT3 was essential for mating or spore viability. Consistent with previous studies of Saccharomyces cerevisiae, the single (cat1, cat2, cat3, and cat4) and quadruple (cat1 cat2 cat3 cat4) catalase mutant strains exhibited no oxidative-stress phenotypes under conditions in which either exogenous or endogenous levels of reactive oxygen species were elevated. In addition, there were no significant differences in the mean times to mortality between groups of mice infected with C. neoformans catalase mutant strains (the cat1 and cat1 cat2 cat3 cat4 mutants) and those infected with wild-type strain H99. We conclude from the results of this study that C. neoformans possesses a robust antioxidant system, composed of functionally overlapping and compensatory components that provide protection against endogenous and exogenous oxidative stresses."
