Unnamed: 0,journal_title,pubmed,abstract
33,"Environmental pollution (Barking, Essex : 1987) ",34968619; ,"Cobalt is an environmental toxicant that is known to damage human health. However, the molecular mechanisms underlying cobalt-induced neurotoxicity have not been elucidated in detail. In the present research, we used human neuroglioma H4 cells as an in vitro model. Cells were exposed to CoCl2 (0, 100, 200, 400 μM) for 24 h. We performed m6A sequencing techniques and constructed FTO-knockdown/FTO-overexpressing cells to investigate the role of FTO-mediated m6A modification in regulating apoptosis following CoCl2 induced oxidative stress. Our study has shown CoCl2 exposure led to the decrease of demethylase FTO as well as elevated oxidative stress. However, NAC treatment could partly reverse the reduction of FTO expression as well as the degree of ROS via eliminating oxidative stress. Meanwhile, MeRIP-seq and RNA-seq further revealed the potential function m6A modification in regulating apoptosis. More importantly, KEGG pathway and Gene ontology (GO) analyses further elucidated that the differentially m6A-modified genes were aggregated in apoptosis-related pathways. Mechanistic analysis indicated that knockdown of FTO facilitated CoCl2-induced apoptosis via caspase activation and G1/S cell cycle arrest. Nevertheless, overexpression of FTO partly attenuated the increased apoptosis following CoCl2 exposure. More notably, we observed that FTO regulated apoptosis in an m6A-dependent manner. Therefore, our findings reveal that CoCl2 induced ROS affected the m6A modification of apoptosis-related genes by decreasing the expression of FTO, thereby resulting in the activation of apoptosis. These findings provide important insights into CoCl2-induced apoptosis and m6A modification and propose a novel strategy for studying environmental toxicant-related neurodegeneration."
34,Genetics ,17483414; ,"It has been proposed that CIRCADIAN CLOCK ASSOCIATED 1 (CCA1) and LATE ELONGATED HYPOCOTYL (LHY) together with TIMING OF CAB EXPRESSION 1 (TOC1) make up the central oscillator of the Arabidopsis thaliana circadian clock. These genes thus drive rhythmic outputs, including seasonal control of flowering and photomorphogenesis. To test various clock models and to disclose the genetic relationship between TOC1 and CCA1/LHY in floral induction and photomorphogenesis, we constructed the cca1 lhy toc1 triple mutant and cca1 toc1 and lhy toc1 double mutants and tested various rhythmic responses and circadian output regulation. Here we report that rhythmic activity was dramatically attenuated in cca1 lhy toc1. Interestingly, we also found that TOC1 regulates the floral transition in a CCA1/LHY-dependent manner while CCA1/LHY functions upstream of TOC1 in regulating a photomorphogenic process. This suggests to us that TOC1 and CCA1/LHY participate in these two processes through different strategies. Collectively, we have used genetics to provide direct experimental support of previous modeling efforts where CCA1/LHY, along with TOC1, drives the circadian oscillator and have shown that this clock is essential for correct output regulation."
35,Journal of integrative plant biology ,33405366; ,"As sessile organisms, plants perceive, respond, and adapt to the environmental changes for optimal growth and survival. The plant growth and fitness are enhanced by circadian clocks through coordination of numerous biological events. In legume species, nitrogen-fixing root nodules were developed as the plant organs specialized for symbiotic transfer of nitrogen between microsymbiont and host. Here, we report that the endogenous circadian rhythm in nodules is regulated by MtLHY in legume species Medicago truncatula. Loss of function of MtLHY leads to a reduction in the number of nodules formed, resulting in a diminished ability to assimilate nitrogen. The operation of the 24-h rhythm in shoot is further influenced by the availability of nitrogen produced by the nodules, leading to the irregulated nyctinastic leaf movement and reduced biomass in mtlhy mutants. These data shed new light on the roles of MtLHY in the orchestration of circadian oscillator in nodules and shoots, which provides a mechanistic link between nodulation, nitrogen assimilation, and clock function."
36,Physical review letters ,34170163; ,"We observe monopole oscillations in a mixture of Bose-Einstein condensates, where the usually dominant mean-field interactions are canceled. In this case, the system is governed by the next-order Lee-Huang-Yang (LHY) correction to the ground state energy, which describes the effect of quantum fluctuations. Experimentally such a LHY fluid is realized by controlling the atom numbers and interaction strengths in a ^{39}K spin mixture confined in a spherical trap potential. We measure the monopole oscillation frequency as a function of the LHY interaction strength as proposed recently by Jrgensen et al. [Phys. Rev. Lett. 121, 173403 (2018)PRLTAO0031-900710.1103/PhysRevLett.121.173403] and find excellent agreement with simulations of the complete experiment including the excitation procedure and inelastic losses. This confirms that the system and its collective behavior are initially dominated by LHY interactions. Moreover, the monopole oscillation frequency is found to be stable against variations of the involved scattering lengths in a broad region around the ideal values, confirming the stabilizing effect of the LHY interaction. These results pave the way for using the nonlinearity provided by the LHY term in quantum simulation experiments and for investigations beyond the LHY regime."
37,Cell death & disease ,35236826; ,"Mucin 15 (MUC15) is reportedly aberrant in human malignancies, including hepatocellular carcinoma (HCC). However, the role of MUC15 in the regulation of liver tumor-initiating cells (T-ICs) remains unknown. Here, we report that expression of MUC15 is downregulated in liver T-ICs, chemoresistance and recurrent HCC samples. Functional studies reveal that MUC15 inhibits hepatoma cells self-renewal, malignant proliferation, tumorigenicity, and chemoresistance. Mechanistically, MUC15 interacts with c-MET and subsequently inactivates the PI3K/AKT/SOX2 signaling pathway. Moreover, we find that miR-183-5p.1 directly targets MUC15 3'-UTR in liver T-ICs. Coincidentally, SOX2 feedback inhibits MUC15 expression by directly transactivating miR-183-5p.1, thus completing a feedforward regulatory circuit in liver T-ICs. Importantly, MUC15/c-MET/PI3K/AKT/SOX2 axis determines the responses of hepatoma cells to lenvatinib treatment, and MUC15 overexpression abrogated lenvatinib resistance. Analysis of patient cohort, patient-derived tumor organoids and patient-derived xenografts further suggests that the MUC15 may predict lenvatinib benefits in HCC patients. Collectively, our findings suggest the crucial role of the miR-183-5p.1/MUC15/c-MET/PI3K/AKT/SOX2 regulatory circuit in regulating liver T-ICs properties, suggesting potential therapeutic targets for HCC."
38,Nucleic acids research ,30124938; ,"In Arabidopsis, the circadian clock central oscillator genes are important cellular components to generate and maintain circadian rhythms. There is a negative feedback loop between the morning expressed CCA1 (CIRCADIAN CLOCK ASSOCIATED 1)/LHY (LATE ELONGATED HYPOCOTYL) and evening expressed TOC1 (TIMING OF CAB EXPRESSION 1). CCA1 and LHY negatively regulate the expression of TOC1, while TOC1 also binds to the promoters of CCA1 and LHY to repress their expression. Recent studies indicate that histone modifications play an important role in the regulation of the central oscillators. However, the regulatory relationship between histone modifications and the circadian clock genes remains largely unclear. In this study, we found that the Lysine-Specific Demethylase 1 (LSD1)-like histone demethylases, LDL1 and LDL2, can interact with CCA1/LHY to repress the expression of TOC1. ChIP-Seq analysis indicated that LDL1 targets a subset of genes involved in the circadian rhythm regulated by CCA1. Furthermore, LDL1 and LDL2 interact with the histone deacetylase HDA6 and co-regulate TOC1 by histone demetylation and deacetylaion. These results provide new insight into the molecular mechanism of how the circadian clock central oscillator genes are regulated through histone modifications."
39,"Science (New York, N.Y.) ",11486091; ,"The interactive regulation between clock genes is central for oscillator function. Here, we show interactions between the Arabidopsis clock genes LATE ELONGATED HYPOCOTYL (LHY), CIRCADIAN CLOCK ASSOCIATED 1 (CCA1), and TIMING OF CAB EXPRESSION 1 (TOC1). The MYB transcription factors LHY and CCA1 negatively regulate TOC1 expression. We show that both proteins bind to a region in the TOC1 promoter that is critical for its clock regulation. Conversely, TOC1 appears to participate in the positive regulation of LHY and CCA1 expression. Our results indicate that these interactions form a loop critical for clock function in Arabidopsis."
40,Genes and environment : the official journal of the Japanese Environmental Mutagen Society ,34893084; ,"Neurodegenerative diseases are becoming major socio-economic burdens. However, most of them still have no effective treatment. Growing evidence indicates excess exposure to pesticides are involved in the development of various forms of neurodegenerative and neurological diseases through trigger epigenetic changes and inducing disruption of the epigenome. This review summaries studies on epigenetics alterations in nervous systems in relation to different kinds of pesticides, highlighting potential mechanism in the etiology, precision prevention and target therapy of various neurodegenerative diseases. In addition, the current gaps in research and future areas for study were also discussed."
41,Circulation research ,34043421; ,
42,Plant molecular biology ,14558659; ,"In order to understand some aspects of the circadian clock function in Phaseolus vulgaris, we analyzed the temporal transcript profile of Lhcb genes, typical clock reporters in plants, and that of PvLHY, an orthologue of Arabidopsis thaliana LHY which is a putative transcription factor of Lhcb genes. Under different light regimes, Lhcb and PvLHY exhibit a clear circadian pattern of expression. Moreover, the rhythm of Lhcb genes appears to be tightly coupled to that of PvLHY with the latter having a slightly earlier phase. This supports the idea that the oscillating capacity of PvLHY may be one of the causes of the rhythmic expression of Lhcb genes in bean. In addition to their circadian regulation, Lhcb and PvLHY are induced by light with similar and relatively slow induction kinetics. Moreover, this light induction is gated by the circadian oscillator: minimal responses occur at times around peaks of the pre-existing rhythm, while maximal ones occur at troughs of the pre-existing rhythm. This pattern of gating is opposite to that observed in Arabidopsis. The failure to block the light induction pathways at pre-existing troughs appears to have a detrimental effect to the subsequent circadian rhythmicity. Briefly, the overall regulation of PvLHY and Lhcb genes by light and the circadian clock reveals different strategies between Phaseolus and Arabidopsis in the adaptation to photoperiodic conditions."
43,The Plant journal : for cell and molecular biology ,19624471; ,"The evolution of circadian clocks in land plants is not understood, because circadian rhythms have received little attention in plants other than angiosperms. We have characterized two genes, PpCCA1a and PpCCA1b, homologs of the Arabidopsis thaliana clock genes CCA1/LHY, from the moss Physcomitrella patens. PpCCA1a and PpCCA1b, together with angiosperm CCA1/LHY homologs, belong to the clock-associated single-myb gene family of green plants (including green algae and land plants). The accumulation of PpCCA1a and PpCCA1b mRNA showed rhythms with a period of approximately 1 day, phased as are those of angiosperm homologs, under 24 h light/dark cycles or in continuous dark. However, in marked contrast to angiosperm homologs, both genes showed arrhythmic profiles in continuous light. The timing of the PpCCA1b peak is determined by the time of the last light to dark transition, suggesting that the arrhythmicity in continuous light is due to dysfunction of the core clock. We generated single and double disruptants for PpCCA1a and PpCCA1b, and found that the double disruptants showed: (i) short periodicity and damped amplitude in the PpCCA1b rhythm, (ii) similar changes in the rhythmically expressed genes PpSIG5 and PpPRRa, and (iii) de-repression of PpCCA1b transcription levels, indicating negative feedback regulation. These observations indicate that the two genes are not merely structural homologs but also functional counterparts of CCA1/LHY. Together, our results illustrate similarities as well as divergence of the clock machineries between P. patens and A. thaliana, two distantly placed species in land plant phylogeny."
44,Molecular cell ,21884973; ,"The COP10-DET1-DDB1 (CDD) complex is an evolutionarily conserved protein complex discovered for its role in the repression of photomorphogenesis in Arabidopsis. It is important in many cellular and developmental processes in both plants and animals, but its molecular mode of action remains poorly understood. Here, we show that the CDD component DET1 possesses transcriptional repression activity and physically interacts with two closely related MYB transcription factors, CCA1 and LHY, which are core components of the plant circadian clock. DET1 associates with the promoter of CCA1/LHY target genes, such as TOC1, in a CCA1/LHY-dependent manner and is required for their repression, suggesting a recruitment of DET1 by the central oscillator components to regulate the clock. Our results reveal DET1 as a core transcriptional repression factor important for clock progression. Overall, the CDD complex may function as a transcriptional corepressor in diverse processes through direct interaction with distinct transcription factors."
45,Plant & cell physiology ,23128602; ,"Circadian clocks enable organisms to adapt to a 24 h diurnal cycle and anticipate rhythmic changes in the environment. The Arabidopsis central oscillator contains three genes encoding core clock components. CIRCADIAN CLOCK ASSOCIATED 1 (CCA1)/LATE ELONGATED HYPOCOTYL (LHY) and TIMING OF CAB EXPRESSION 1 (TOC1) reciprocally repress genes encoding each other and are critical for the generation of circadian rhythms controlling many clock outputs. A precise regulation of transcriptional events is, therefore, essential for proper circadian function. Here, we investigated histone 3 (H3) tail modifications of CCA1, LHY and TOC1 under various conditions. We found specific association of only H3K4Me3 and H3K9/14Ac with the translational start site of these three genes. These H3 marks were enriched at circadian time points of their increased transcription at different photoperiods and under free-running conditions, suggesting circadian regulation of H3 modifications. Analysis of clock-compromised CCA1-overexpressing lines provided evidence that light/dark photoperiods signal the establishment of these chromatin changes which are gated by the clock."
46,Plant molecular biology ,20119844; ,"The transcription factor CCA1 (CIRCADIAN CLOCK ASSOCIATED 1) participates in both light and circadian clock regulation in Arabidopsis. Two sets of transgenic plants in which GFP was fused to the CCA1 promoter with (1.3-kb fragment) or without (1.01-kb fragment) its 5'UTR were engineered. The transgenic plants transformed with the promoter including the 5'UTR had altered circadian regulation resulting in elongated hypocotyls, a bushy appearance and delayed flowering. In contrast, the transgenic plants transformed with the promoter without the 5'UTR showed earlier flowering than the wild type. Changes in CCA1, LHY and TOC1 gene expression were investigated under light-dark (L:D) fluctuations, continuous darkness (D:D) and continuous light (L:L). The circadian expression of CCA1 was altered in both sets of transgenic plants, being repressed in the plants transformed with the 1.01-kb fragment and constitutively overexpressed in those transformed with the 1.3-kb fragment. Under L:D conditions, regulation of LHY and TOC1 expression was separated from CCA1 regulation in both sets of transgenic plants, with intact rhythmic expression of both LHY and TOC1. Under D:D conditions, the rhythmic expression of LHY and TOC1 was lost in the 1.3 plants but retained with some erratic pattern under L:L conditions. In the 1.01 plants, under both D:D and L:L conditions the rhythmic expression was retained. These results indicate separate light-induced signal-transmission pathways for LHY and CCA1."
47,Genes ,33138078; ,"The circadian clock is the biological timekeeping system that governs the approximately 24-h rhythms of genetic, metabolic, physiological and behavioral processes in most organisms. This oscillation allows organisms to anticipate and adapt to day-night changes in the environment. Molecular studies have indicated that a transcription-translation feedback loop (TTFL), consisting of transcriptional repressors and activators, is essential for clock function in Arabidopsis thaliana (Arabidopsis). Omics studies using next-generation sequencers have further revealed that transcription factors in the TTFL directly regulate key genes implicated in clock-output pathways. In this review, the target genes of the Arabidopsis clock-associated transcription factors are summarized. The Arabidopsis clock transcriptional network is partly conserved among angiosperms. In addition, the clock-dependent transcriptional network structure is discussed in the context of plant behaviors for adapting to day-night cycles."
48,Plant & cell physiology ,17540692; ,"In Arabidopsis thaliana, the flowering time is regulated through the circadian clock that measures day-length and modulates the photoperiodic CO-FT output pathway in accordance with the external coincidence model. Nevertheless, the genetic linkages between the major clock-associated TOC1, CCA1 and LHY genes and the canonical CO-FT flowering pathway are less clear. By employing a set of mutants including an extremely early flowering toc1 cca1 lhy triple mutant, here we showed that CCA1 and LHY act redundantly as negative regulators of the photoperiodic flowering pathway. The partly redundant CCA1/LHY functions are largely, but not absolutely, dependent on the upstream TOC1 gene that serves as an activator. The results of examination with reference to the expression profiles of CO and FT in the mutants indicated that this clock circuitry is indeed linked to the CO-FT output pathway, if not exclusively. For this linkage, the phase control of certain flowering-associated genes, GI, CDF1 and FKF1, appears to be crucial. Furthermore, the genetic linkage between TOC1 and CCA1/LHY is compatible with the negative and positive feedback loop, which is currently believed to be a core of the circadian clock. The results of this study suggested that the circadian clock might open an exit for a photoperiodic output pathway during the daytime. In the context of the current clock model, these results will be discussed in connection with the previous finding that the same clock might open an exit for the early photomorphogenic output pathway during the night-time."
49,Frontiers in plant science ,27148293; ,"To successfully recruit pollinators, plants often release attractive floral scents at specific times of day to coincide with pollinator foraging. This timing of scent emission is thought to be evolutionarily beneficial to maximize resource efficiency while attracting only useful pollinators. Temporal regulation of scent emission is tied to the activity of the specific metabolic pathways responsible for scent production. Although floral volatile profiling in various plants indicated a contribution by the circadian clock, the mechanisms by which the circadian clock regulates timing of floral scent emission remained elusive. Recent studies using two species in the Solanaceae family provided initial insight into molecular clock regulation of scent emission timing. In Petunia hybrida, the floral volatile benzenoid/phenylpropanoid (FVBP) pathway is the major metabolic pathway that produces floral volatiles. Three MYB-type transcription factors, ODORANT 1 (ODO1), EMISSION OF BENZENOIDS I (EOBI), and EOBII, all of which show diurnal rhythms in mRNA expression, act as positive regulators for several enzyme genes in the FVBP pathway. Recently, in P. hybrida and Nicotiana attenuata, homologs of the Arabidopsis clock gene LATE ELONGATED HYPOCOTYL (LHY) have been shown to have a similar role in the circadian clock in these plants, and to also determine the timing of scent emission. In addition, in P. hybrida, PhLHY directly represses ODO1 and several enzyme genes in the FVBP pathway during the morning as an important negative regulator of scent emission. These findings facilitate our understanding of the relationship between a molecular timekeeper and the timing of scent emission, which may influence reproductive success."
50,The Plant cell ,21098730; ,"A defining, yet poorly understood characteristic of the circadian clock is that it is buffered against changes in temperature such that the period length is relatively constant across a range of physiologically relevant temperatures. We describe here the role of PSEUDO RESPONSE REGULATOR7 (PRR7) and PRR9 in temperature compensation. The Arabidopsis thaliana circadian oscillator comprises a series of interlocking feedback loops, and PRR7 and PRR9 function in the morning loop. The prr7 prr9 double mutant displays a unique phenotype that has not been observed before in other Arabidopsis clock mutants. In the prr7 prr9 mutant, the effects of temperature are overcompensated, apparently due to hyperactivation of the transcription factors CIRCADIAN CLOCK ASSOCIATED1 (CCA1) and LATE ELONGATED HYPOCOTYL (LHY). Inactivation of CCA1 and LHY fully suppresses the overcompensation defects of prr7 prr9 mutants and rescues their long period phenotype. Overcompensation in prr7 prr9 mutants does not rely on FLOWERING LOCUS C, a previously identified gene required for temperature compensation. Together, our results reveal a role of PRR7 and PRR9 in regulating CCA1 and LHY activities in response to ambient temperature."
51,Redox biology ,32336668; ,"Living organisms are surrounded with heavy metals such as methylmercury, manganese, cobalt, cadmium, arsenic, as well as pesticides such as deltamethrin and paraquat, or atmospheric pollutants such as quinone. Extensive studies have demonstrated a strong link between environmental pollutants and human health. Redox toxicity is proposed as one of the main mechanisms of chemical-induced pathology in humans. Acting as both a sensor of oxidative stress and a positive regulator of antioxidants, the nuclear factor erythroid 2-related factor 2 (NRF2) has attracted recent attention. However, the role NRF2 plays in environmental pollutant-induced toxicity has not been systematically addressed. Here, we characterize NRF2 function in response to various pollutants, such as metals, pesticides and atmospheric quinones. NRF2 related signaling pathways and epigenetic regulations are also reviewed."
52,Current opinion in plant biology ,10679446; ,"The components of the circadian system that have recently been discovered in plants share some characteristics with those from cyanobacterial, fungal and animal circadian clocks. Light input signals to the clock are contributed by multiple photoreceptors: some of these have now been shown to function specifically in response to light of defined wavelength and fluence rate. New reports of clock-controlled processes and genes are highlighting the importance of time management for plant development."
53,Journal of biosciences ,23107921; ,"Soybean genome sequences were blasted with Arabidopsis thaliana regulatory genes involved in photoperioddependent flowering. This approach enabled the identification of 118 genes involved in the flowering pathway. Two genome sequences of cultivated (Williams 82) and wild (IT182932) soybeans were employed to survey functional DNA variations in the flowering-related homologs. Forty genes exhibiting nonsynonymous substitutions between G. max and G. soja were catalogued. In addition, 22 genes were found to co-localize with QTLs for six traits including flowering time, first flower, pod maturity, beginning of pod, reproductive period, and seed filling period. Among the genes overlapping the QTL regions, two LHY/CCA1 genes, GI and SFR6 contained amino acid changes. The recently duplicated sequence regions of the soybean genome were used as additional criteria for the speculation of the putative function of the homologs. Two duplicated regions showed redundancy of both flowering-related genes and QTLs. ID 12398025, which contains the homeologous regions between chr 7 and chr 16, was redundant for the LHY/CCA1 and SPA1 homologs and the QTLs. Retaining of the CRY1 gene and the pod maturity QTLs were observed in the duplicated region of ID 23546507 on chr 4 and chr 6. Functional DNA variation of the LHY/CCA1 gene (Glyma07g05410) was present in a counterpart of the duplicated region on chr 7, while the gene (Glyma16g01980) present in the other portion of the duplicated region on chr 16 did not show a functional sequence change. The gene list catalogued in this study provides primary insight for understanding the regulation of flowering time and maturity in soybean."
54,BMC plant biology ,27207270; ,"Plants constantly monitor changes in photoperiod or day length to trigger the flowering cycle at the most appropriate time of the year. It is well established that photoperiodic flowering is intimately associated with the circadian clock in Arabidopsis. In support of this notion, many clock-defective mutants exhibit altered photoperiodic sensitivity in inducing flowering. LATE ELONGATED HYPOCOTYL (LHY) and its functional paralogue CIRCADIAN CLOCK ASSOCIATED 1 (CCA1) constitute the core of the circadian clock together with TIMING OF CAB EXPRSSION 1 (TOC1). While it is known that TOC1 contributes to the timing of flowering entirely by modulating the clock function, molecular mechanisms by which LHY and CCA1 regulate flowering time have not been explored."
55,Plant signaling & behavior ,33794732; ,"CIRCADIAN CLOCK ASSOCIATED1 (CCA1) and LATE ELONGATED HYPOCOTYL (LHY) are core components of the circadian clock in Arabidopsis thaliana that impacts plant response to biotic stresses. Their clock-regulating functions are believed to be partially redundant, and mutation of either gene leads to shortened periods of the circadian cycle. Our recent study has demonstrated that CCA1 promotes plant resistance to the green peach aphid (Myzus persicae) through modulation of indole glucosinolate biosynthesis, but the role of LHY remains to be elucidated. Here we showed that, similar to cca1-11, single mutant lhy-21 became more susceptible to aphid infestation. Damage to the cca1-11 lhy-21 double mutant by aphids was most pronounced, indicating that the defensive roles of CCA1 and LHY were not entirely redundant. Also, the cyclic expression pattern of key indole glucosinolate biosynthetic genes was considerably disturbed in both single mutants and this was more severe in the double mutant. Apparently, both CCA1 and LHY were necessary for circadian-regulated indole glucosinolate biosynthesis. Taken together, LHY-CCA1 coordination in transcriptional regulation of indole glucosinolate biosynthetic genes most likely contributed to plant defensive capacity against aphids."
56,Journal of hazardous materials ,35650753; ,"In the context of spreading Coronavirus disease 2019 (COVID-19), the combination of heating, ventilation, and air-conditioning (HVAC) system with air disinfection device is an effective way to reduce transmissible infections. Atmospheric-pressure non-equilibrium plasma is an emerging technique for fast pathogen aerosol abatement. In this work, in-duct disinfectors based on grating-like dielectric barrier discharge (DBD) plasmas with varied electrode arrangements were established and evaluated. The highest airborne bacterial inactivation efficiency was achieved by 'vertical' structure, namely when aerosol was in direct contact with the discharge region, at a given discharge power. For all reactors, the efficiency was linearly correlated to the discharge power (R2 =0.929-0.994). The effects of environmental factors were examined. Decreased airflow rates boosted the efficiency, which reached 99.8% at the velocity of 0.5 m/s with an aerosol residence time of ~3.6 ms. Increasing humidity (relative humidity (RH)=20-60%) contributed to inactivation efficacy, while high humidity (RH=70%-90%) led to a saturated efficiency, possibly due to the disruption of discharge uniformity. As suggested by the plasma effluent treatment and scavenger experiments, gaseous short-lived chemical species or charged particles were concluded as the major agents accounting for bacterial inactivation. This research provides new hints for air disinfection by DBD plasmas."
57,The Plant cell ,20233950; ,"An interlocking transcriptional-translational feedback loop of clock-associated genes is thought to be the central oscillator of the circadian clock in plants. TIMING OF CAB EXPRESSION1 (also called PSEUDO-RESPONSE REGULATOR1 [PRR1]) and two MYB transcription factors, CIRCADIAN CLOCK ASSOCIATED1 (CCA1) and LATE ELONGATED HYPOCOTYL (LHY), play pivotal roles in the loop. Genetic studies have suggested that PRR9, PRR7, and PRR5 also act within or close to the loop; however, their molecular functions remain unknown. Here, we demonstrate that PRR9, PRR7, and PRR5 act as transcriptional repressors of CCA1 and LHY. PRR9, PRR7, and PRR5 each suppress CCA1 and LHY promoter activities and confer transcriptional repressor activity to a heterologous DNA binding protein in a transient reporter assay. Using a glucocorticoid-induced PRR5-GR (glucorticoid receptor) construct, we found that PRR5 directly downregulates CCA1 and LHY expression. Furthermore, PRR9, PRR7, and PRR5 associate with the CCA1 and LHY promoters in vivo, coincident with the timing of decreased CCA1 and LHY expression. These results suggest that the repressor activities of PRR9, PRR7, and PRR5 on the CCA1 and LHY promoter regions constitute the molecular mechanism that accounts for the role of these proteins in the feedback loop of the circadian clock."
58,BMC biology ,36266698; ,"Recent studies demonstrated that microbiota inhabiting the plant rhizosphere exhibit diel changes in abundance. To investigate the impact of plant circadian rhythms on bacterial and fungal rhythms in the rhizosphere, we analysed temporal changes in fungal and bacterial communities in the rhizosphere of Arabidopsis plants overexpressing or lacking function of the circadian clock gene LATE ELONGATED HYPOCOTYL (LHY)."
59,BMC biology ,20459860; ,"The circadian clock enhances fitness through temporal organization of plant gene expression, metabolism and physiology. Two recent studies, one in BMC Evolutionary Biology, demonstrate through phylogenetic analysis of the CCA1/LHY and TOC1/PRR gene families that the common ancestor of monocots and eudicots had components sufficient to construct a circadian clock consisting of multiple interlocked feedback loops."
60,The Plant cell ,16617099; ,"Circadian clocks maintain robust and accurate timing over a broad range of physiological temperatures, a characteristic termed temperature compensation. In Arabidopsis thaliana, ambient temperature affects the rhythmic accumulation of transcripts encoding the clock components TIMING OF CAB EXPRESSION1 (TOC1), GIGANTEA (GI), and the partially redundant genes CIRCADIAN CLOCK ASSOCIATED1 (CCA1) and LATE ELONGATED HYPOCOTYL (LHY). The amplitude and peak levels increase for TOC1 and GI RNA rhythms as the temperature increases (from 17 to 27 degrees C), whereas they decrease for LHY. However, as temperatures decrease (from 17 to 12 degrees C), CCA1 and LHY RNA rhythms increase in amplitude and peak expression level. At 27 degrees C, a dynamic balance between GI and LHY allows temperature compensation in wild-type plants, but circadian function is impaired in lhy and gi mutant plants. However, at 12 degrees C, CCA1 has more effect on the buffering mechanism than LHY, as the cca1 and gi mutations impair circadian rhythms more than lhy at the lower temperature. At 17 degrees C, GI is apparently dispensable for free-running circadian rhythms, although partial GI function can affect circadian period. Numerical simulations using the interlocking-loop model show that balancing LHY/CCA1 function against GI and other evening-expressed genes can largely account for temperature compensation in wild-type plants and the temperature-specific phenotypes of gi mutants."
61,Journal of experimental botany ,34850882; ,"Legumes house nitrogen-fixing endosymbiotic rhizobia in specialized polyploid cells within root nodules, which undergo tightly regulated metabolic activity. By carrying out expression analysis of transcripts over time in Medicago truncatula nodules, we found that the circadian clock enables coordinated control of metabolic and regulatory processes linked to nitrogen fixation. This involves the circadian clock-associated transcription factor LATE ELONGATED HYPOCOTYL (LHY), with lhy mutants being affected in nodulation. Rhythmic transcripts in root nodules include a subset of nodule-specific cysteine-rich peptides (NCRs) that have the LHY-bound conserved evening element in their promoters. Until now, studies have suggested that NCRs act to regulate bacteroid differentiation and keep the rhizobial population in check. However, these conclusions came from the study of a few members of this very large gene family that has complex diversified spatio-temporal expression. We suggest that rhythmic expression of NCRs may be important for temporal coordination of bacterial activity with the rhythms of the plant host, in order to ensure optimal symbiosis."
62,The New phytologist ,34312886; ,"Most research in plant chronobiology has been done in laboratory conditions. However, laboratories usually fail to mimic natural conditions and their slight fluctuations, highlighting or obfuscating rhythmicity. High-density crops, such as sugarcane (Saccharum hybrid), generate field microenvironments with specific light and temperature regimes resulting from mutual shading. We measured the metabolic and transcriptional rhythms in the leaves of 4-month-old (4 mo) and 9 mo field-grown sugarcane. Most of the assayed rhythms in 9 mo sugarcane peaked >1 h later than in 4 mo sugarcane, including rhythms of the circadian clock gene, LATE ELONGATED HYPOCOTYL (LHY). We hypothesized that older sugarcane perceives dawn later than younger sugarcane as a consequence of self-shading. As a test, we measured LHY rhythms in plants on the east and the west sides of a field. We also tested if a wooden wall built between lines of sugarcane plants changed their rhythms. The LHY peak was delayed in the plants in the west of the field or beyond the wall; both shaded at dawn. We conclude that plants in the same field may have different phases resulting from field microenvironments, impacting important agronomical traits, such as flowering time, stalk weight and number."
63,Plant physiology ,19218364; ,"The circadian clock is an endogenous mechanism that coordinates biological processes with daily and seasonal changes in the environment. Heterodimerization of central clock components is an important way of controlling clock function in several different circadian systems. CIRCADIAN CLOCK ASSOCIATED1 (CCA1) and LATE ELONGATED HYPOCOTYL (LHY) are Myb-related proteins that function in or close to the central oscillator in Arabidopsis (Arabidopsis thaliana). Single mutants of cca1 and lhy have a phenotype of short-period rhythms. cca1 lhy double mutants show an even shorter period phenotype than the cca1 single mutant, suggesting that CCA1 and LHY are only partially functionally redundant. To determine whether CCA1 and LHY act in parallel or synergistically in the circadian clock, we examined their expression in both light-grown and etiolated seedlings. We have shown that LHY and CCA1 bind to the same region of the promoter of a Light-harvesting chlorophyll a/b protein (Lhcb, also known as CAB). CCA1 and LHY can form homodimers, and they also colocalize in the nucleus and heterodimerize in vitro and in vivo. In Arabidopsis, CCA1 and LHY physically interact in a manner independent of photoperiod. Moreover, results from gel filtration chromatography indicate that CCA1 and LHY are present in the same large complex in plants. Taken together, these results imply that CCA1 and LHY function synergistically in regulating circadian rhythms of Arabidopsis."
64,Nature communications ,36280686; ,
