Unnamed: 0,journal_title,pubmed,abstract,pmcid
57,Journal of experimental botany ,20693413; ,"In Arabidopsis thaliana, chloroplasts move towards the periclinal cell walls upon exposure to low blue light intensities and to anticlinal walls under high light. The regulation of these chloroplast movements involves members of both the phototropin and phytochrome families of photoreceptors. Examination of fluence-rate response dependencies in phot1 and phot2 mutants revealed that although both photoreceptors are capable of inducing chloroplast accumulation under low-light conditions, the signals from these photoreceptors appear to be antagonistic. Chloroplast movements in wild-type plants were intermediate between those of the single phot mutants, consistent with each operating through separate signalling cascades. Mutants in phot2 showed transient chloroplast avoidance responses upon exposure to intense blue light, and slow but sustained chloroplast avoidance under intense white light, indicating that in the absence of phot2, phot1 is capable of generating both a low and a high-light response signal. Mutations in phytochrome B (phyB) caused an enhanced avoidance response at intermediate and high light intensities. Examination of phyB, phot1phyB, and phot2phyB mutants indicated that this enhancement is caused by PhyB inhibition of the high-light avoidance response in wild-type plants. In addition, our results suggest that the inhibition by PhyB is not exclusive to either of the phot1 or phot2 signalling pathways.",PMC2955749
58,Plant signaling & behavior ,22751318; ,"Light is critical for supplying carbon for use in the energetically expensive process of nitrogen-fixing symbiosis between legumes and rhizobia. We recently showed that root nodule formation in phyB mutants [which have a constitutive shade avoidance syndrome (SAS) phenotype] was suppressed in white light, and that nodulation in wild-type is controlled by sensing the R/FR ratio through jasmonic acid (JA) signaling. We concluded that the cause of reduced root nodule formation in phyB mutants was the inhibition of JA-Ile production in root. Here we show that the shoot JA-Ile level of phyB mutants is higher than that of the wild-type strain MG20, suggesting that translocation of JA-Ile from shoot to root is impeded in the mutant. These results indicate that root nodule formation in phyB mutants is suppressed both by decreased JA-Ile production, caused by reduced JAR1 activity in root, and by reduced JA-Ile translocation from shoot to root.",PMC3583954
59,Molecular plant ,22492120; ,"The reversibly red (R)/far-red (FR)-light-responsive phytochrome (phy) photosensory system initiates both the deetiolation process in dark-germinated seedlings upon first exposure to light, and the shade-avoidance process in fully deetiolated seedlings upon exposure to vegetational shade. The intracellular signaling pathway from the light-activated photoreceptor conformer (Pfr) to the transcriptional network that drives these responses involves direct, physical interaction of Pfr with a small subfamily of bHLH transcription factors, termed Phy-Interacting Factors (PIFs), which induces rapid PIF proteolytic degradation. In addition, there is evidence of further complexity in light-grown seedlings, whereby phyB-PIF interaction reciprocally induces phyB degradation, in a mutually-negative, feedback-loop configuration. Here, to assess the relative contributions of these antagonistic activities to the net phenotypic readout in light-grown seedlings, we have examined the magnitude of the light- and simulated-shade-induced responses of a pentuple phyBpif1pif3pif4pif5 (phyBpifq) mutant and various multiple pif-mutant combinations. The data (1) reaffirm that phyB is the predominant, if not exclusive, photoreceptor imposing the inhibition of hypocotyl elongation in deetiolating seedlings in response to prolonged continuous R irradiation and (2) show that the PIF quartet (PIF1, PIF3, PIF4, and PIF5) retain and exert a dual capacity to modulate hypocotyl elongation under these conditions, by concomitantly promoting cell elongation through intrinsic transcriptional-regulatory activity, and reducing phyB-inhibitory capacity through feedback-loop-induced phyB degradation. In shade-exposed seedlings, immunoblot analysis shows that the shade-imposed reduction in Pfr levels induces increases in the abundance of PIF3, and mutant analysis indicates that PIF3 acts, in conjunction with PIF4 and PIF5, to promote the known shade-induced acceleration of hypocotyl elongation. Conversely, although the quadruple pifq mutant displays clearly reduced hypocotyl elongation compared to wild-type in response to prolonged shade, immunoblot analysis detects no elevation in phyB levels in the mutant seedlings compared to the wild-type during the majority of the shade-induced growth period, and phyB levels are not robustly correlated with the growth phenotype across the pif-mutant combinations compared. These results suggest that PIF feedback modulation of phyB abundance does not play a dominant role in modulating the magnitude of the PIF-promoted, shade-responsive phenotype under these conditions. In seedlings grown under diurnal light-dark cycles, the data show that FR-pulse-induced removal of Pfr at the beginning of the dark period (End-of-Day-FR (EOD-FR) treatment) results in longer hypocotyls relative to no EOD-FR treatment and that this effect is attenuated in the pif-mutant combinations tested. This result similarly indicates that the PIF quartet members are capable of intrinsically promoting hypocotyl cell elongation in light-grown plants, independently of the effects of PIF feedback modulation of photoactivated-phyB abundance.",PMC3355348
60,ACS synthetic biology ,29301067; ,"Transplanting metabolic reactions from one species into another has many uses as a research tool with applications ranging from optogenetics to crop production. Ferredoxin (Fd), the enzyme that most often supplies electrons to these reactions, is often overlooked when transplanting enzymes from one species to another because most cells already contain endogenous Fd. However, we have shown that the production of chromophores used in Phytochrome B (PhyB) optogenetics is greatly enhanced in mammalian cells by expressing bacterial and plant Fds with ferredoxin-NADP+ reductases (FNR). We delineated the rate limiting factors and found that the main metabolic precursor, heme, was not the primary limiting factor for producing either the cyanobacterial or plant chromophores, phycocyanobilin or phytochromobilin, respectively. In fact, Fd is limiting, followed by Fd+FNR and finally heme. Using these findings, we optimized the PCB production system and combined it with a tissue penetrating red/far-red sensing PhyB optogenetic gene switch in animal cells. We further characterized this system in several mammalian cell lines using red and far-red light. Importantly, we found that the light-switchable gene system remains active for several hours upon illumination, even with a short light pulse, and requires very small amounts of light for maximal activation. Boosting chromophore production by matching metabolic pathways with specific ferredoxin systems will enable the unparalleled use of the many PhyB optogenetic tools and has broader implications for optimizing synthetic metabolic pathways.",PMC5820651
62,PloS one ,22073299; ,"The phyB-401 mutant is 10(3) fold more sensitive to red light than its wild-type analogue and shows loss of photoreversibility of hypocotyl growth inhibition. The phyB-401 photoreceptor displays normal spectral properties and shows almost no dark reversion when expressed in yeast cells. To gain insight into the molecular mechanism underlying this complex phenotype, we generated transgenic lines expressing the mutant and wild-type phyB in phyB-9 background. Analysis of these transgenic lines demonstrated that the mutant photoreceptor displays a reduced rate of dark-reversion but normal P(fr) to P(r) photoconversion in vivo and shows an altered pattern of association/dissociation with nuclear bodies compared to wild-type phyB. In addition we show (i) an enhanced responsiveness to far-red light for hypocotyl growth inhibition and CAB2 expression and (ii) that far-red light mediated photoreversibility of red light induced responses, including inhibition of hypocotyl growth, formation of nuclear bodies and induction of CAB2 expression is reduced in these transgenic lines. We hypothesize that the incomplete photoreversibility of signalling is due to the fact that far-red light induced photoconversion of the chromophore is at least partially uncoupled from the P(fr) to P(r) conformation change of the protein. It follows that the phyB-401 photoreceptor retains a P(fr)-like structure (P(r) (*)) for a few hours after the far-red light treatment. The greatly reduced rate of dark reversion and the formation of a biologically active P(r) (*) conformer satisfactorily explain the complex phenotype of the phyB-401 mutant and suggest that amino acid residues surrounding the position 564 G play an important role in fine-tuning phyB signalling.",PMC3207837
63,International journal of molecular sciences ,32906617; ,"Optogenetic (photo-responsive) actuators engineered from photoreceptors are widely used in various applications to study cell biology and tissue physiology. In the toolkit of optogenetic actuators, the key building blocks are genetically encodable light-sensitive proteins. Currently, most optogenetic photosensory modules are engineered from naturally-occurring photoreceptor proteins from bacteria, fungi, and plants. There is a growing demand for novel photosensory domains with improved optical properties and light-induced responses to satisfy the needs of a wider variety of studies in biological sciences. In this review, we focus on progress towards engineering of non-opsin-based photosensory domains, and their representative applications in cell biology and physiology. We summarize current knowledge of engineering of light-sensitive proteins including light-oxygen-voltage-sensing domain (LOV), cryptochrome (CRY2), phytochrome (PhyB and BphP), and fluorescent protein (FP)-based photosensitive domains (Dronpa and PhoCl).",PMC7555876
67,Plant physiology ,9733522; ,"Wild-type or phyA, phyB, or hy4 mutant Arabidopsis seedlings lacking phytochrome A (phyA), phytochrome B (phyB), or cryptochrome 1 (cry1), respectively, and the double and triple mutants were used in combination with blue-light treatments given simultaneously with red or far-red light. We investigated the interaction between phytochromes and cry1 in the control of hypocotyl growth and cotyledon unfolding. Under conditions deficient for cry1 (short exposures to blue light) or phyB (far-red background), these photoreceptors acted synergistically: Under short exposures to blue light (3 h/d) added to a red-light background, cry1 activity required phyB (e.g. the hy4 mutant was taller than the wild type but the phyBhy4 mutant was not taller than the phyB mutant). Under prolonged exposures to blue light (24 h/d) added to a far-red light background, phyB activity required cry1 (e.g. the phyAphyB mutant was taller than the phyA mutant but the phyAphyBhy4 mutant was not taller than the phyAhy4 mutant). Under more favorable light inputs, i.e. prolonged exposures to blue light added to a red-light background, the effects of cry1 and phyB were independent. Thus, the synergism between phyB and cry1 is conditional. The effect of cry1 was not reduced by the phyA mutation under any tested light condition. Under continuous blue light the triple mutant phyAphyBhy4 showed reduced hypocotyl growth inhibition and cotyledon unfolding compared with the phyAphyB mutant. The action of cry1 in the phyAphyB double mutant was higher under the red-light than the far-red-light background, indicating a synergistic interaction between cry1 and phytochromes C, D, or E; however, a residual action of cry1 independent of any phytochrome is likely to occur.",PMC34855
68,The Plant cell ,18252845; ,"We show that a previously uncharacterized Arabidopsis thaliana basic helix-loop-helix (bHLH) phytochrome interacting factor (PIF), designated PIF7, interacts specifically with the far-red light-absorbing Pfr form of phyB through a conserved domain called the active phyB binding motif. Similar to PIF3, upon light exposure, PIF7 rapidly migrates to intranuclear speckles, where it colocalizes with phyB. However, in striking contrast to PIF3, this process is not accompanied by detectable light-induced phosphorylation or degradation of PIF7, suggesting that the consequences of interaction with photoactivated phyB may differ among PIFs. Nevertheless, PIF7 acts similarly to PIF3 in prolonged red light as a weak negative regulator of phyB-mediated seedling deetiolation. Examination of pif3, pif4, and pif7 double mutant combinations shows that their moderate hypersensitivity to extended red light is additive. We provide evidence that the mechanism by which these PIFs operate on the phyB signaling pathway under prolonged red light is through maintaining low phyB protein levels, in an additive or synergistic manner, via a process likely involving the proteasome pathway. These data suggest that the role of these phyB-interacting bHLH factors in modulating seedling deetiolation in prolonged red light may not be as phy-activated signaling intermediates, as proposed previously, but as direct modulators of the abundance of the photoreceptor.",PMC2276449
70,Genes & development ,12533513; ,"Plants possess several photoreceptors to sense the light environment. In Arabidopsis cryptochromes and phytochromes play roles in photomorphogenesis and in the light input pathways that synchronize the circadian clock with the external world. We have identified SRR1 (sensitivity to red light reduced), a gene that plays an important role in phytochrome B (phyB)-mediated light signaling. The recessive srr1 null allele and phyB mutants display a number of similar phenotypes indicating that SRR1 is required for normal phyB signaling. Genetic analysis suggests that SRR1 works both in the phyB pathway but also independently of phyB. srr1 mutants are affected in multiple outputs of the circadian clock in continuous light conditions, including leaf movement and expression of the clock components, CCA1 and TOC1. Clock-regulated gene expression is also impaired during day-night cycles and in constant darkness. The circadian phenotypes of srr1 mutants in all three conditions suggest that SRR1 activity is required for normal oscillator function. The SRR1 gene was identified and shown to code for a protein conserved in numerous eukaryotes including mammals and flies, implicating a conserved role for this protein in both the animal and plant kingdoms.",PMC195977
71,PloS one ,27855191; ,"Potamogeton is one of the most difficult groups to clarify in aquatic plants, which has an extensive range of interspecific morphological and ecological diversity. Internal transcribed spacer (ITS) is prevalent for phylogenetic analysis in plants. However, most researches demonstrate that ITS has a high percentage of homoplasy in phylogenetic datasets. In this study, eighteen materials were collected in Potamogeton from China and incongruence was shown between the rbcL and ITS phylogenies. To solve the discrepancy, we employed a novel barcode PHYB to improve resolution and accuracy of the phylogenetic relationships. The PHYB phylogeny successfully resolved the incongruence between the rbcL and ITS phylogenies. In addition, six hybrids were confirmed using PHYB, including P. compressus × P. pusillus, P. octandrus × P. oxyphyllus, P. gramineus × P. lucens, P. distinctus × P. natans, P. distinctus × P. wrightii, and S. pectinata × S. amblyophylla. Whereas, only one hybrid was identified (P. compressus × P. pusillus) by ITS, indicating that ITS homoplasy was present in Potamogeton and ITS was completely homogenized to one parental lineage. Thus, ITS might have limited utility for phylogenetic relationships in Potamogeton. It is recommended that a three-locus combination of chloroplast DNA gene, ITS and PHYB is potential to effectively reveal more robust phylogenetic relationships and species identification.",PMC5113904
77,BMC genetics ,27776497; ,"Among SNP markers that become increasingly valuable in molecular breeding of crop plants are the CAPS and dCAPS markers derived from the genes of interest. To date, the number of such gene-based markers is small in polyploid crop plants such as allotetraploid cotton that has A- and D-sub-genomes. The objective of this study was to develop and map new CAPS and dCAPS markers for cotton developmental-regulatory genes that are important in plant breeding programs.",PMC5078887
79,Plant physiology ,10594107; ,"The negatively photoregulated PHYA gene has a complex promoter structure in Arabidopsis, with three active transcription start sites. To identify the photoreceptors responsible for regulation of this gene, and to assess the relative roles of the three transcription start sites, we analyzed the changes in PHYA transcript levels in wild-type and photoreceptor mutant seedlings under various irradiation conditions. Continuous far-red or red light exposures each induced a significant decline in transcript levels in wild-type etiolated seedlings. Analysis of mutants specifically lacking either phyA or phyB protein demonstrated that these phytochromes are required for the negative regulation induced by far-red and red light, respectively. Ribonuclease protection experiments showed further that this negative regulation is confined almost exclusively to the shortest, most abundant PHYA transcript, and occurs predominantly in shoots. By contrast, both of the other minor transcripts in shoots, and all three transcripts in roots, exhibit near constitutive expression. This complex expression pattern indicates that the PHYA gene is subject to regulation by multiple signals, including environmental, developmental, and organ-specific signals.",PMC59487
80,Plant physiology ,9390432; ,"The Arabidopsis thaliana phyB, phyD, and phyE phytochrome apoproteins show higher amino acid sequence similarity to each other than to phyA or phyC, they are the most recently evolved members of this photoreceptor family, and they may interact in regulating photomorphogenesis. The expression patterns of translational fusions of the 5' upstream regions of the PHYB, PHYD, and PHYE genes to the beta-glucuronidase (GUS) coding sequence were compared. PD-GUS and PE-GUS fusions were 5- to 10-fold less active than a PB-GUS fusion, but all three promoter regions drove expression of the reporter gene in all stages of the plant's life cycle. Over the first 10 d of seedling growth, the PHYB and PHYD promoters were more active in the dark than in the light, whereas the opposite was true of the PHYE promoter. Unlike the PB-GUS construct, which was expressed in most parts of seedlings and mature plants, the PD-GUS and PE-GUS transgenes showed differential expression, notably in leaves, flower organs, and root tips. Tissue sections showed that the three promoters are coexpressed in at least some leaf cells. Hence, the PHYB, PHYD, and PHYE genes differ in expression pattern but these patterns overlap and interaction of these receptor forms within individual cells is possible.",PMC158559
82,Frontiers in plant science ,35432407; ,"Phytochromes A and B (phyA and phyB) are the far-red and red lights photoreceptors mediating many light responses in Arabidopsis thaliana. Brassinosteroid (BR) is a pivotal phytohormone regulating a variety of plant developmental processes including photomorphogenesis. It is known that phyB interacts with BES1 to inhibit its DNA-binding activity and repress BR signaling. Here, we show that far-red and red lights modulate BR signaling through phyA and phyB regulation of the stability of BIN2, a glycogen synthase kinase 3 (GSK3)-like kinase that phosphorylates BES1/BZR1 to inhibit BR signaling. The BIN2 gain-of-function mutant bin2-1 displays an enhanced photomorphogenic phenotype in both far-red and red lights. phyA-enhanced accumulation of BIN2 promotes the phosphorylation of BES1 in far-red light. BIN2 acts genetically downstream from PHYA to regulate photomorphogenesis under far-red light. Both phyA and phyB interact directly with BIN2, which may promote the interaction of BIN2 with BES1 and induce the phosphorylation of BES1. Our results suggest that far-red and red lights inhibit BR signaling through phyA and phyB stabilization of BIN2 and promotion of BES1 phosphorylation, which defines a new layer of the regulatory mechanism that allows plants to coordinate light and BR signaling pathways to optimize photomorphogenesis.",PMC9005995
83,The Plant cell ,11402161; ,"Many aspects of plant development are regulated by photoreceptor function and the circadian clock. Loss-of-function mutations in the Arabidopsis EARLY FLOWERING 3 (ELF3) and PHYTOCHROME B (PHYB) genes cause early flowering and influence the activity of circadian clock-regulated processes. We demonstrate here that the relative abundance of the ELF3 protein, which is a novel nucleus-localized protein, displays circadian regulation that follows the pattern of circadian accumulation of ELF3 transcript. Furthermore, the ELF3 protein interacts with PHYB in the yeast two-hybrid assay and in vitro. Genetic analyses show that ELF3 requires PHYB function in early morphogenesis but not for the regulation of flowering time. This suggests that ELF3 is a component of a PHYB signaling complex that controls early events in plant development but that ELF3 and PHYB control flowering via independent signal transduction pathways.",PMC135570
84,Genetics ,9539443; ,"Ambient light controls the development and physiology of plants. The Arabidopsis thaliana photoreceptor phytochrome B (PHYB) regulates developmental light responses at both seedling and adult stages. To identify genes that mediate control of development by light, we screened for suppressors of the long hypocotyl phenotype caused by a phyB mutation. Genetic analyses show that the shy (short hypocotyl) mutations we have isolated fall in several loci. Phenotypes of the mutants suggest that some of the genes identified have functions in control of light responses. Other loci specifically affect cell elongation or expansion.",PMC1460030
85,The Plant cell ,1498594; ,"A novel cDNA sequence homologous to a phytochrome B (phyB) gene that was isolated in a library from tobacco tissue has been used in an Escherichia coli expression system to raise anti-phytochrome B (anti-PHYB) polypeptide-specific monoclonal antibodies. The specificity of these antibodies has been tested by cross-reactivity against purified pea light-labile type 1 and light-stable type 2 phytochromes, with some antibodies reacting with the type 2 and none with the type 1 phytochromes. One such antibody, monoclonal mAT1, has been employed to analyze the phytochrome molecular species present in a photomorphogenic long hypocotyl (lh) mutant of cucumber. The results indicated that the mutant contains wild-type levels of the light-labile type 1 phytochrome polypeptide (PHYA), which has an apparent molecular mass of approximately 120 kD, but shows less than 1% (detection limit) of a light-stable polypeptide recognized by mAT1 in wild-type seedlings. This protein, not detectable in the lh mutant, has the properties of light-stable type 2 phytochrome, has an apparent molecular mass of 116 to 117 kD, and remains at constant levels under continuous low-fluence-rate red light. Therefore, we conclude that the lh mutant lacks at least one type 2 phytochrome-like polypeptide, most probably a phyB gene product. The correlation between the lack of this protein and the deficiency or absence of physiological responses to a light-stable phytochrome species in this mutant helps to identify the physiological roles played by the products of different subfamilies within the phytochrome gene family.",PMC160125
90,Frontiers in plant science ,32695129; ,"Photomorphogenesis refers to photoreceptor-mediated morphological changes in plant development that are triggered by light. Multiple photoreceptors and transcription factors (TFs) are involved in the molecular regulation of photomorphogenesis. Likewise, light can also modulate the outcome of plant-virus interactions since both photosynthesis and many viral infection events occur in the chloroplast. Despite the apparent association between photosynthesis and virus infection, little is known about whether there are also interplays between photomorphogenesis and plant virus resistance. Recent research suggests that plant-virus interactions are potentially regulated by several photoreceptors and photomorphogenesis regulators, including phytochromes A and B (PHYA and PHYB), cryptochromes 2 (CRY2), phototropin 2 (PHOT2), the photomorphogenesis repressor constitutive photomorphogenesis 1 (COP1), the NAM, ATAF, and CUC (NAC)-family TF ATAF2, the Aux/IAA protein phytochrome-associated protein 1 (PAP1), the homeodomain-leucine zipper (HD-Zip) TF HAT1, and the core circadian clock component circadian clock associated 1 (CCA1). Particularly, the plant growth promoting brassinosteroid (BR) hormones play critical roles in integrating the regulatory pathways of plant photomorphogenesis and viral defense. Here, we summarize the current understanding of molecular mechanisms linking plant photomorphogenesis and defense against viruses, which represents an emerging interdisciplinary research topic in both molecular plant biology and virology.",PMC7338571
91,Frontiers in plant science ,34239522; ,"Light acts as a vital external cue that conveys surrounding information into plant growth and performance to facilitate plants to coordinate with changing environmental conditions. Upon exposure to light illumination, plants trigger a burst of molecular and physiological signaling cascades that induces not only photomorphogenic responses but also diverse adaptive behaviors. Notably, light responses and photomorphogenic traits are often associated with plant responses to other environmental cues, such as heat, cold, drought, and herbivore and pathogen attack. Growing evidence in recent years demonstrate that the red/far-red light-absorbing phytochrome (phy) photoreceptors, in particular phyB, play an essential role in plant adaptation responses to abiotic and biotic tensions by serving as a key mediator of information flow. It is also remarkable that phyB mediates the plant priming responses to numerous environmental challenges. In this minireview, we highlight recent advances on the multifaceted role of phyB during plant environmental adaptation. We also discuss the biological relevance and efficiency of the phy-mediated adaptive behaviors in potentially reducing fitness costs under unfavorable environments.",PMC8258378
92,PloS one ,20502669; ,"Plants have evolved various sophisticated mechanisms to respond and adapt to changes of abiotic factors in their natural environment. Light is one of the most important abiotic environmental factors and it regulates plant growth and development throughout their entire life cycle. To monitor the intensity and spectral composition of the ambient light environment, plants have evolved multiple photoreceptors, including the red/far-red light-sensing phytochromes.",PMC2873432
93,The Plant cell ,23903316; ,"Plants constantly monitor informational light signals using sensory photoreceptors, which include the phytochrome (phy) family (phyA to phyE), and adjust their growth and development accordingly. Following light-induced nuclear translocation, photoactivated phy molecules bind to and induce rapid phosphorylation and degradation of phy-interacting basic Helix Loop Helix (bHLH) transcription factors (PIFs), such as PIF3, thereby regulating the expression of target genes. However, the mechanisms underlying the signal-relay process are still not fully understood. Here, using mass spectrometry, we identify multiple, in vivo, light-induced Ser/Thr phosphorylation sites in PIF3. Using transgenic expression of site-directed mutants of PIF3, we provide evidence that a set of these phosphorylation events acts collectively to trigger rapid degradation of the PIF3 protein in response to initial exposure of dark-grown seedlings to light. In addition, we show that phyB-induced PIF3 phosphorylation is also required for the known negative feedback modulation of phyB levels in prolonged light, potentially through codegradation of phyB and PIF3. This mutually regulatory intermolecular transaction thus provides a mechanism with the dual capacity to promote early, graded, or threshold regulation of the primary, PIF3-controlled transcriptional network in response to initial light exposure, and later, to attenuate global sensitivity to the light signal through reductions in photoreceptor levels upon prolonged exposure.",PMC3753391
94,Frontiers in plant science ,35283886; ,"Light plays a crucial role in plant growth and development, and light signaling is integrated with various stress responses to adapt to different environmental changes. During this process, excessive protein synthesis overwhelms the protein-folding ability of the endoplasmic reticulum (ER), causing ER stress. Although crosstalk between light signaling and ER stress response has been reported in plants, the molecular mechanisms underlying this crosstalk are poorly understood. Here, we demonstrate that the photoreceptor phytochrome B (phyB) induces the expression of ER luminal protein chaperones as well as that of unfolded protein response (UPR) genes. The phyB-5 mutant was less sensitive to tunicamycin (TM)-induced ER stress than were the wild-type plants, whereas phyB-overexpressing plants displayed a more sensitive phenotype under white light conditions. ER stress response genes (BiP2 and BiP3), UPR-related bZIP transcription factors (bZIP17, bZIP28, and bZIP60), and programmed cell death (PCD)-associated genes (OXI1, NRP1, and MC8) were upregulated in phyB-overexpressing plants, but not in phyB-5, under ER stress conditions. The ER stress-sensitive phenotype of phyB-5 under red light conditions was eliminated with a reduction in photo-equilibrium by far-red light and darkness. The N-terminal domain of phyB is essential for signal transduction of the ER stress response in the nucleus, which is similar to light signaling. Taken together, our results suggest that phyB integrates light signaling with the UPR to relieve ER stress and maintain proper plant growth.",PMC8905361
96,Plant physiology ,12177480; ,"Arabidopsis displays circadian rhythms in stomatal aperture, stomatal conductance, and CO(2) assimilation, each of which peaks around the middle of the day. The rhythmic opening and closing of stomata confers a rhythm in sensitivity and resistance, respectively, to the toxic gas sulfur dioxide. Using this physiological assay as a basis for a mutant screen, we isolated mutants with defects in circadian timing. Here, we characterize one mutant, out of phase 1 (oop1), with the circadian phenotype of altered phase. That is, the timing of the peak (acrophase) of multiple circadian rhythms (leaf movement, CO(2) assimilation, and LIGHT-HARVESTING CHLOROPHYLL a/b-BINDING PROTEIN transcription) is early with respect to wild type, although all circadian rhythms retain normal period length. This is the first such mutant to be characterized in Arabidopsis. oop1 also displays a strong photoperception defect in red light characteristic of phytochrome B (phyB) mutants. The oop1 mutation is a nonsense mutation of PHYB that results in a truncated protein of 904 amino acids. The defect in circadian phasing is seen in seedlings entrained by a light-dark cycle but not in seedlings entrained by a temperature cycle. Thus, PHYB contributes light information critical for proper determination of circadian phase.",PMC166755
97,The arabidopsis book ,22303272; ,"Phytochromes are red (R)/far-red (FR) light photoreceptors that play fundamental roles in photoperception of the light environment and the subsequent adaptation of plant growth and development. There are five distinct phytochromes in Arabidopsis thaliana, designated phytochrome A (phyA) to phyE. phyA is light-labile and is the primary photoreceptor responsible for mediating photomorphogenic responses in FR light, whereas phyB-phyE are light stable, and phyB is the predominant phytochrome regulating de-etiolation responses in R light. Phytochromes are synthesized in the cytosol in their inactive Pr form. Upon light irradiation, phytochromes are converted to the biologically active Pfr form, and translocate into the nucleus. phyB can enter the nucleus by itself in response to R light, whereas phyA nuclear import depends on two small plant-specific proteins FAR-RED ELONGATED HYPOCOTYL 1 (FHY1) and FHY1-LIKE (FHL). Phytochromes may function as light-regulated serine/threonine kinases, and can phosphorylate several substrates, including themselves in vitro. Phytochromes are phosphoproteins, and can be dephosphorylated by a few protein phosphatases. Photoactivated phytochromes rapidly change the expression of light-responsive genes by repressing the activity of CONSTITUTIVE PHOTOMORPHOGENIC 1 (COP1), an E3 ubiquitin ligase targeting several photomorphogenesis-promoting transcription factors for degradation, and by inducing rapid phosphorylation and degradation of Phytochrome-Interacting Factors (PIFs), a group of bHLH transcription factors repressing photomorphogenesis. Phytochromes are targeted by COP1 for degradation via the ubiquitin/26S proteasome pathway.",PMC3268501
